Region,Latitude,Longitude
Dar es Salaam,-6.82349,39.26951
Mwanza,-2.51667,32.9
Mara,-1.83333,34.41667
Arusha,-3.36667,36.68333
Dodoma,-5.91667,35.91667
Morogoro,-7.91667,37.25
Singida,-5.75,34.66667
Kigoma,-4.75,30.5
Mbeya,-8.9,33.45
Geita,-3.2,31.9
Iringa,-7.85,35.55
Kagera,-1.91667,31.25
Kilimanjaro,-3.75,37.63333
Lindi,-9.5,38.5
Manyara,-4.5,36.83333
Mtwara,-10.8,39.13333
Ruvuma,-10.7,36.23333
Tabora,-5.25,32.83333
Rukwa,-8,31.41667
Njombe,-9.41667,34.75
Pwani,-7.3238,38.8205
Tanga,-5.06893,39.09875
Shinyanga,-3.66667,32.91667
